Location,Date,Name,Party,Title,Accusation,Info,Source
Various,Various,Donald Trump,Republican,President,Various,    Donald Trump is accused of sexual assault by multiple women. He is accused of raping a 13-year-old girl and bragged of walking in on underage girls at pageant.,https://en.wikipedia.org/wiki/Donald_Trump_sexual_misconduct_allegations
Alabama,,Roy Moore,Republican,Judge,,    Judge Roy Moore is accused of sexuafl assault and dating underage women.,https://en.wikipedia.org/wiki/Roy_Moore_sexual_misconduct_allegation
Ohio,,Jim Jordan,Republican,U.S. Rep.,,"    Jim Jordan is seeking to fill Steny Hoyer’s shoes even though he is accused of ignoring sexual assault of young men while a coach, dismissing it as locker room talk",https://www.vox.com/2018/7/6/17536388/jim-jordan-ohio-state-sexual-abuse-accuser
,,,Republican,,,    Speaker of the House Dennis Hastert sexually abused his high school students. He is outside the statute of limitations but was convicted of paying off/bribing some of his victims https://www.nytimes.com/2016/04/28/us/dennis-hastert-sentencing.html,https://www.nytimes.com/2016/04/28/us/dennis-hastert-sentencing.html
,,,Republican,,,    Cobb County COP Chairman Joseph Russell Dendy - child molesting https://www.ajc.com/news/crime--law/cobb-gop-chairman-dendy-indicted-molestation-charges/Ajxs2SiORqMCCdVZpGqj1M/,https://www.ajc.com/news/crime--law/cobb-gop-chairman-dendy-indicted-molestation-charges/Ajxs2SiORqMCCdVZpGqj1M/
,,,Republican,,,"    So-called ""pro-life""/ antigay  activist Howard Scott Heldreth was convicted of raping a child  https://shadowproof.com/2008/07/27/nc-antigay-operation-save-america-totes-convicted-child-rapist-to-charlotte-pride/",
,,,Republican,,,    GOP Ohio County Commissioner David Swartz convicted of raping two girls - released after only 5 years!!!! Back in prison after contacting one of his victims.,
,,,Republican,,,    http://lanternproject.org.uk/library/child-abuse-arrests-and-court-cases/child-abuse-arrests-trials-and-proceedings/ex-county-commissioner-admits-sexual-abuse-of-girl,
,,,Republican,,,    Republican judge Mark Pazuhanich pleaded no contest to fondling a 10-year old girl                                       https://old.post-gazette.com/localnews/200312062plug1206p6.asp,
,,,Republican,,,    Republican anti-abortion activist Nicholas Morency pleaded guilty to possessing child pornography on his computer and offering a bounty to anybody who murders an abortion doctor. https://www.deseretnews.com/article/830211/NJ-man-pleads-guilty-to-Internet-porn-charges.html,
,,,Republican,,,    Republican Speaker of the House in PR Edison Misla Aldarondo was sentenced to 10 years in prison for raping his daughter between the ages of 9 and 17.https://en.wikipedia.org/wiki/Edison_Misla_Aldarondo …,
,,,Republican,,,    Republican Mayor Philip Giordano is serving a 37-year sentence in federal prison for sexually abusing 8- and 10-year old girls. https://www.nytimes.com/2003/03/26/nyregion/ex-mayor-convicted-in-sex-abuse-case.html,
,,,Republican,,,    Republican campaign consultant Tom Shortridge was sentenced to three years probation for taking nude photographs of a 15-year old girl. https://www.latimes.com/archives/la-xpm-2001-apr-06-me-47737-story.html,
,,,Republican,,,    Republican racist pedophile and United States Senator Strom Thurmond had sex with a 15-year old black girl which produced a child. https://t.co/urtNMMu6pR,
,,,Republican,,,"     Republican pastor Mike Hintz, whom George W. Bush commended during the 2004 presidential campaign, surrendered to police after admitting to a sexual affair with a female juvenile. https://www.wowt.com/home/headlines/Omaha-Church-Adds-Pastor-With-A-Past-303831061.html",
,,,Republican,,,     Republican legislator Peter Dibble pleaded no contest to having an inappropriate relationship with a 13-year-old girl. https://www.nytimes.com/2004/04/18/nyregion/embroiled-first-selectman-takes-leave.html,
,,,Republican,,,"     Republican Congressman Donald ""Buz"" Lukens was found guilty of having sex with a female minor and sentenced to one month in jail. https://t.co/sQxJnXAwGP",
,,,Republican,,,     Republican fundraiser Richard A. Delgaudio was found guilty of child porn charges and paying two teenage girls to pose for sexual photos. https://t.co/mlGKCQCiOE,
,,,Republican,,,     Republican of the Year Mark A. Grethen convicted on six counts of sex crimes involving children. https://www.pilotonline.com/news/crime/vp-nw-mark-grethen-lawrenceville-correctional-20210806-dmjuk7zwgnfxvigjnjmy3257vy-story.html,
,,,Republican,,,    Republican state senator Ralph Shortey from Oklahoma admitted to being involved in sodomy with a 17 year old male prostitute and transporting child pornography. https://t.co/fizctzPRYz,
,,,Republican,,,    Republican activist Randal David Ankeney pleaded guilty to attempted sexual assault on a child. https://t.co/TcSo9EEIYr,
,,,Republican,,,"    GOP Congressman Dan Crane had sex with a page. To be fair, Dem Congressman was Gerry Studds was also caught for the same thing.. https://t.co/JwEpYZeAW9",
,,,Republican,,,"    Republican Congressman Mark Foley abruptly resigned from Congress after ""sexually explicit"" emails surfaced showing him flirting with a 16-year old boy. http://www.washingtonpost.com/wp-dyn/content/article/2006/09/29/AR2006092901574.html",
,,,Republican,,,    Republican activist and Christian Coalition leader Beverly Russell admitted to an incestuous relationship with his step daughter. https://t.co/V8z8lOrhzf,
,,,Republican,,,    Republican congressman and anti-gay activist *Robert Bauman** was charged with having sex with a 16-year-old boy he picked up at a gay bar. https://t.co/x5twFWgmAB,
,,,Republican,,,"    Republican Committee Chairman Jeffrey Patti was arrested for distributing a video clip of a 5-year-old girl being raped and notice, they agreed his record could be expunged in THREE YEARS! http://www.spartaindependent.com/news/sparta-attorney-looking-to-put-charges-behind-him-CBSI20051210312109963",
,,,Republican,,,    Republican legislative aide *Howard L. Brooks** was charged with molesting a 12-year old boy and possession of child pornography. http://130.211.185.127/static/media/resources/documents/pdf/assemblymans-aide-accused-of-molesting-12-year-old-boy-ymcas.pdf,
,,,Republican,,,    Republican Senate candidate John Hathaway was accused of having sex with his 12-year old babysitter and withdrew his candidacy after the allegations were reported in the media. https://t.co/XRrNqU4fsl,
,,,Republican,,,"    Republican preacher *Stephen White**, who demanded a return to traditional values, was sentenced to jail after offering $20 to a 14-year-old boy for permission to perform oral sex on him. https://www.thedp.com/article/2004/01/brother_stephen_convicted_of_soliciting_sex",
,,,Republican,,,     Republican talk show host Jon Matthews pleaded guilty to exposing his genitals to an 11 year old girl. https://www.chron.com/news/houston-texas/article/Ex-radio-host-pleads-guilty-to-child-indecency-1627887.php,
,,,Republican,,,"    Republican anti-gay activist Earl ""Butch"" Kimmerling was sentenced to 40 years in prison for molesting an 8-year old girl after he attempted to stop a gay couple from adopting her. https://t.co/SISVipW3u6",
,,,Republican,,,    Republican Party leader Paul Ingram pleaded guilty to six counts of raping his daughters and served 14 years in federal prison. https://t.co/7oJIYpdMLi,
,,,Republican,,,    Republican election board official Kevin Coan was sentenced to two years probation for soliciting sex over the internet from a 14-year old girl. https://news.stlpublicradio.org/other/2004-07-19/former-st-louis-election-official-pleads-guilty-in-sex-case,
,,,Republican,,,    Republican politician *Andrew Buhr** was charged with two counts of first degree sodomy with a 13-year old boy. https://t.co/WdjhNGbhYk,
,,,Republican,,,    Republican politician Keith Westmoreland was arrested on seven felony counts of lewd and lascivious exhibition to girls under the age of 16. He committed suicide https://t.co/HkkD3fcIYd,
,,,Republican,,,    Republican anti-abortion activist John Allen Burt was charged with sexual misconduct involving a 15-year old girl. https://t.co/PFTQ80ko6j,
,,,Republican,,,    Republican County Councilman *Keola Childs** pleaded guilty to molesting a male child. https://t.co/4JpiKE8WG6,
,,,Republican,,,"    Republican activist, McCain office manager Jeffrey Claude Bartleson, was arrested for molesting the child of a campaign volunteer. https://www.denverpost.com/2009/02/05/molestation-allegations-against-well-regarded-puebloan/",
,,,Republican,,,    https://www.chieftain.com/story/news/2009/07/30/political-consultant-pleads-to-sexual/8418923007/,
,,,Republican,,,"    NYC councilman, Republican-Queens, Dennis Gallagher - rape https://www.nytimes.com/2008/03/18/nyregion/18gallagher.html",
,,,Republican,,,     Rep Mayoral Candidate and pastor - Rambler was accused of having sex with an underage boy and was convicted of soliciting explicit photos from a swingers' group & using the pics to extort money https://lancasteronline.com/news/sex-crimes-figure-in-wrightsville-mayor-race/article_7aef2162-c8e8-55ac-9cf2-1ee14c5c2211.html,
,,,Republican,,,"    Republican City Councilman Fred C. Smeltzer, Jr. pleaded no contest to raping a 15 year-old girl and served 6-months in prison. https://t.co/ThBhrncX2e",
,,,Republican,,,"    Republican activist Parker J. Bena pleaded guilty to possession of child pornography on his home computer and was sentenced to 30 months in federal prison and fined $18,000. https://t.co/OvATfEsGUK",
,,,Republican,,,    GOP Sen aide Ryan Lockarn committed suicide after child porn arrest https://www.politico.com/story/2014/01/ryan-loskarn-letter-102716#ixzz2rjqJ1YPO,
,,,Republican,,,"    Ryan Locksarn, aide to Republican senator Lamar Alexander, killed himself while awaiting trial on child sexual abuse  pornography charges.",
,,,Republican,,,    https://www.theguardian.com/world/2014/jan/24/former-senate-staffer-child-porn-charges-suicide,
,,,Republican,,,"    Republican parole board officer and former Colorado state representative, Larry Jack Schwarz, was fired after child pornography was found in his possession. https://www.prisonlegalnews.org/news/2002/jul/15/colorado-parole-board-member-busted-for-child-porn/",
,,,Republican,,,"    Faith and Family Alliance director, Republican strategist, and lobbyist Robin Vanderwall was convicted in of five counts of soliciting sex from boys and girls over the internet. It's at the end or article, after all his illegal lobbying schemes https://t.co/gVbGFfAtZe",
,,,Republican,,,"    Republican businessman Jon Grunseth withdrew his candidacy for Minnesota governor after allegations surfaced that he went swimming in the nude with four underage girls, including his daughter https://t.co/fvwTWS8DT2",
,,,Republican,,,"    Republican director of the ""Young Republican Federation"" Nicholas Elizondo molested his 6-year old daughter and was sentenced to six years in prison https://t.co/2UbQ0zYjUP",
,,,Republican,,,"    Republican benefactor of conservative Christian groups, Richard A. Dasen Sr. rape Dasen has allegedly told police that over the past decade he paid more than $1 million to have sex with a large number of young women https://t.co/q77ybqCxou",
,,,Republican,,,    Republican Judge and campaign official Tim Nolan for President Donald Trump indicted for human trafficking and forcing a minors (9) to engage in sexual activity https://t.co/Epl7GBLKPA,
,,,Republican,,,    Republican County Board Candidate Brent Schepp was charged with molesting a 14-year old girl. https://t.co/bCVpnB6oEF,
,,,Republican,,,"    Randall Casseday, HR Director for right-wing Washington Times - caught in an underage sex sting - ""The Washington Times is the only newspaper where the moral issues of family and faith are proudly reported on the front page on a regular basis"" https://t.co/l3yyvWANcE",
,,,Republican,,,    Republican chairman of the Oregon Christian Coalition Lou Beres confessed to molesting a 13-year old girl https://t.co/tSgG6pLsC9,
,,,Republican,,,"    Republican County Constable Larry Dale Floyd was arrested on suspicion of soliciting sex with an 8-year old girl. Floyd has repeatedly won elections for Denton County, Texas, constable https://t.co/xXAd55Zasa",
,,,Republican,,,    Republican Party leader Bobby Stumbo was arrested for having sex with a 5-year old boy.,
,,,Republican,,,"    Lexington Herald-Leader Oct 4, 2005",
,,,Republican,,,"    Republican petition drive manager Tom Randall pleaded guilty to molesting two girls under the age of 14, one of them the daughter of an associate in the petition business. https://t.co/cHvNUyNHE7",
,,,Republican,,,    Republican County Chairman Armando Tebano was arrested for sexually molesting a 14-year-old girl. https://t.co/pAW2AEmWqV,
,,,Republican,,,    Republican teacher and former city councilman John Collins pleaded guilty to sexually molesting 13 and 14 year old girls. https://t.co/m0heU8bIkk,
,,,Republican,,,    Republican campaign worker Mark Seidensticker is a convicted child molester. https://t.co/CKLQYgycY5,
,,,Republican,,,    Republican Mayor Tom Adams was arrested for distributing child pornography over the internet. https://t.co/OCoNmnnfmj,
,,,Republican,,,    Republican Mayor John Gosek was arrested on charges of soliciting sex from two 15-year old girls. https://t.co/Ha4eRgueIO,
,,,Republican,,,    Republican Committeeman John R. Curtin was charged with molesting a teenage boy and unlawful sexual contact with a minor https://t.co/H7sCHguMdr,
,,,Republican,,,"    Republican zoning supervisor, Boy Scout leader and Lutheran church president and BTK killer Dennis L. Rader pleaded guilty to performing a sexual act on an 11-year old girl he murdered. https://t.co/lEO2sDBXba",
,,,Republican,,,"    GOP ad consultant Carey Lee Cramer who created an anti-Gore ad modeled on LBJ's ""Daisy"" ad convicted of sexual assault of 2 8-year-old girls, including daughter who appeared in the adl https://t.co/Qf3SYqsPmn",
,,,Republican,,,"    Republican Lobbyist Craig Spence - running call-boy prostitution ring, killed himself https://t.co/M9pPgz5CB1 ",
,,,Republican,,,    Republican Judge Ronald C. Kline was placed under house arrest for child molestation and possession of child pornography https://t.co/NLndGiv9ut ,
,,,Republican,,,    GOP state Rep Jim Knoblach of St. Cloud ended his re-election campaign Friday amid detailed accusations from his adult daughter of what she described as his inappropriate behavior toward her since she was https://t.co/OLwIOkmBQX,
,,,Republican,,,"    Steve Aiken(82), campaign manager for a Republican candidate for Congress in Arizona, former Quakertown, PA, police officer and self-proclaimed reverend, was convicted of having sex with two underage girls https://t.co/McK9S6sNvT",
,,,Republican,,,    Republican president of the New York City Housing Development Corp. Russell Harding pleaded guilty to possessing child pornography on his computer https://t.co/ePDJ9nfAZo,
,,,Republican,,,"    Republican state representative Bob Allen charged with soliciting oral sex from a male undercover cop. Normally, I would ignore a gay man being arrested for being gay, but he claimed Fear of Black men made him do it https://t.co/Ko96vNNgfc",
,,,Republican,,,    Republican prosecutor John David Roy Atchison arrested on charges of flying across the country to try and have sex with a five year old girl. Committed suicide. https://t.co/UVmHidPnDf,
,,,Republican,,,    Republican chairman & radio show host E Ozwald Balfour arrested on four counts of forcible sex abuse/groping https://t.co/1SiQESFGNS,
,,,Republican,,,"    Clifton Bennett, 18, son of Arizona republican state senator Ken Bennett plead guilty to assaulting 3 boys, aged 11-15 with broomsticks up their rectal areas. https://t.co/ouSjrbKa6h",
,,,Republican,,,    Republican preacher Hewart Lee Bennett arrested for soliciting sex from 16 year old boys while claiming that he did so to gain their trust and then teach them the love of Jesus https://t.co/ken9zC4t87,
,,,Republican,,,    Republican commission candidate Wilton Frederick Bland sentenced to 80 years in prison for various sex crimes including 45 counts of first degree rape of an 11 year old https://t.co/wgBUtffU06,
,,,Republican,,,"    Republican councilman John Bryan resigned from office and committed suicide several hours later, just a few minutes before police arrived at his home to question him about his alleged rape of his two adoptive daughters, ages 12 and 15 https://t.co/UN9qNBswNz",
,,,Republican,,,    Garrett Ventry-Judiciary Committee communications aide coordinating GOP messaging on Christine Blasey Ford’s allegation forced to resign due to sexual harassment claims. He denies them https://t.co/bD9h6ic4yV,
,,,Republican,,,    Republican staffer and long term director of financial operations for Seattle Republicans Larry Corrigan plead guilty for attempted rape of a 13 year old girl https://t.co/qrIBlAWjab,
,,,Republican,,,    Republican talk show host Scott Eller Cortelyou plead guilty on charges of using the Internet to try and lure a child into a sexual relationship with him https://t.co/zYM8bxXuFL,
,,,Republican,,,    Republican constable Joshua Dickens sentenced to five years in prison for torture related activities against a young woman. https://www.arktimes.com/arkansas/he-thinks-hes-shocked/Content?oid=863016,
,,,Republican,,,    Republican spokesman Brian Doyle arrested for trying to seduce a 14 year old girl over the Internet.  He was later sentenced to 5 years in prison https://t.co/1KuVlUWk9D,
,,,Republican,,,"    Republican campaign official and former Romney staffer Matthew Joseph Elliott convicted of sexual exploitation of a child Got great deal, but really went astray, ending up murdering a child.https://t.co/u3KOqReFJM",
,,,Republican,,,    Republican party chair Donald Fleischman was charged with two counts of child enticement and one count of exposing himself to a child https://t.co/QGluoBRd4N,
,,,Republican,,,"    Republican Michael Flory, former head of the Michigan Young American Foundation, raped a colleague at convention https://t.co/Sn9tLwIPKL",
,,,Republican,,,"    Michael Flory, who once led National Teenage Republicans & Michigan Federation of Young Republicans organizations, back a 2nd time with 2 new accusations of rape. http://www.cleveland19.com/2019/03/25/former-teenage-republicans-chairman-convicted-sex-case-indicted-new-rape-charges/",
,,,Republican,,,"    Richard Gardner, a Nevada State Representative (R), admitted to molesting his two daughters and 34% of voters still voted for him. That Keyes Constant!  https://t.co/MAP2cSr8pN",
,,,Republican,,,"    George Roche III resigned as president of conservative Hillsdale College in Michigan after accusations of a quasi-incestuous relationship with his daughter-in-law, Lissa. https://www.salon.com/2000/01/19/hillsdale/",
,,,Republican,,,"    Bishop Paprocki is not a sexual predator, but he protects them. He protects and enabled pedophile priests. He engages in partisanship to order Democratic politicians be denied communion by all priests in his diocese, including Dick Durbin https://t.co/P120lumykN",
,,,Republican,,,    Republican high level Bush appointee Dr. W. David Hager sodomized his wife while she slept.  She divorced him for it.,
,,,Republican,,,    https://www.thenation.com/article/archive/dr-hagers-family-values/,
,,,Republican,,,"    Republican sheriff Don Haidl used his office to try to smear the victim that was gang raped.  The main perpetrator was Haidl’s son, who poisoned the victim.  Sheriff Haidl claims that the girl deserved it because she was a ""slut."" https://t.co/Lznr8dBTaQ",
,,,Republican,,,    Republican activist Neal Horsley admits to having had sex with a mule.  Horsley also wants all homosexuals arrested and solicited murders of abortion providers on his Nuremberg files site.  https://t.co/QwMMHEgKLs,
,,,Republican,,,    Conservative cardinal Bernard Law of Boston covered up thousands of instances of sexual molestation by fellow conservative members of the clergy. https://t.co/QmVRTkK45w,
,,,Republican,,,    Republican congressman Joseph McDade charged with exposing his genitalia to two women on a public beach https://t.co/DcVOhWWe0P,
,,,Republican,,,    Republican delegate Robert McKee resigns after police seize two computers and videotapes from his home pertaining to child pornography https://t.co/Ku0HKFrKMB,
,,,Republican,,,    Republican blowhard TV personality Bill O’Reilly paid several million dollars to settle a sexual harassment suit with Andrea Mackris.  https://t.co/aQQufQRZil,
,,,Republican,,,    Republican mega-preacher Marshal Seymour arrested on charges of having sex with underage boys.  Seymour had been jailed almost a decade earlier for similar charges in a different state https://t.co/vdOH25uNFX,
,,,Republican,,,    White supremacist National Vanguard leader Kevin Alfred Strom arrested and charged with child pornography https://t.co/GS5vzrMHXG,
,,,Republican,,,"    Daniel Dean Thompson founded a familly values film company that removed all the ""bad parts"" from films to make them family-friendly - front for child porn, arrested for having sex with 14-year-old",
,,,Republican,,,    https://consumerist.com/2008/01/31/family-friendly-movie-censors-were-running-porn-business/,
,,,Republican,,,"    Wharton prof & conservative consultant on media effects on children Lawrence Scott Ward - video of himself having sex with children, sex tourism https://t.co/UBbrEeWISl",
,,,Republican,,,    Spokane Republican homophobic mayor Jim West recalled after evidence surfaced that he molested little boys https://t.co/01rIrLsCdj,
,,,Republican,,,    Focus on the Family's Steve Wilsey - molesting an 8 year old boy,
,,,Republican,,,    https://capitolhillblue.com/node/982,
,,,Republican,,,"    NewspaperAugust 8, 2004 | Gazette, The (Colorado Springs, CO) Author: BILL HETHCOCK",
